train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,46,281,123476.671875,264.9560852050781,,,,
,46,281,,,121308.140625,221.1267852783203,,
304.04913330078125,47,284,,,,,,
,47,287,128041.21875,233.24815368652344,,,,
,47,287,,,111652.7734375,231.31858825683594,,
226.0992431640625,48,289,,,,,,
,48,293,126446.09375,222.26889038085938,,,,
,48,293,,,106798.9609375,230.3801727294922,,
204.76651000976562,49,294,,,,,,
237.24453735351562,49,299,,,,,,
,49,299,117364.421875,224.00228881835938,,,,
,49,299,,,127186.2890625,234.7762451171875,,
,50,300,,,,,117364.421875,224.00228881835938
